movieId,movie_title,genres
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji,Adventure|Children|Fantasy
3,Grumpier Old Men,Comedy|Romance
4,Waiting to Exhale,Comedy|Drama|Romance
5,Father of the Bride Part II,Comedy
6,Heat,Action|Crime|Thriller
7,Sabrina,Comedy|Romance
8,Tom and Huck,Adventure|Children
9,Sudden Death,Action
10,GoldenEye,Action|Adventure|Thriller
11,"American President, The",Comedy|Drama|Romance
12,Dracula: Dead and Loving It,Comedy|Horror
13,Balto,Adventure|Animation|Children
14,Nixon,Drama
15,Cutthroat Island,Action|Adventure|Romance
16,Casino,Crime|Drama
17,Sense and Sensibility,Drama|Romance
18,Four Rooms,Comedy
19,Ace Ventura: When Nature Calls,Comedy
20,Money Train,Action|Comedy|Crime|Drama|Thriller
21,Get Shorty,Comedy|Crime|Thriller
22,Copycat,Crime|Drama|Horror|Mystery|Thriller
23,Assassins,Action|Crime|Thriller
24,Powder,Drama|Sci-Fi
25,Leaving Las Vegas,Drama|Romance
26,Othello,Drama
27,Now and Then,Children|Drama
28,Persuasion,Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama
31,Dangerous Minds,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller
34,Babe,Children|Drama
35,Carrington,Drama|Romance
36,Dead Man Walking,Crime|Drama
38,It Takes Two,Children|Comedy
39,Clueless,Comedy|Romance
40,"Cry, the Beloved Country",Drama
41,Richard III,Drama|War
42,Dead Presidents,Action|Crime|Drama
43,Restoration,Drama
44,Mortal Kombat,Action|Adventure|Fantasy
45,To Die For,Comedy|Drama|Thriller
46,How to Make an American Quilt,Drama|Romance
47,Seven (a.k.a. Se7en),Mystery|Thriller
48,Pocahontas,Animation|Children|Drama|Musical|Romance
49,When Night Is Falling,Drama|Romance
50,"Usual Suspects, The",Crime|Mystery|Thriller
52,Mighty Aphrodite,Comedy|Drama|Romance
54,"Big Green, The",Children|Comedy
55,Georgia,Drama
57,Home for the Holidays,Drama
